feature,importance
glideslope_error_deg_lag1,0.38840147818902926
airspeed_error_kts_lag1,0.2790434263866947
localizer_error_deg_lag1,0.22913864604937662
glideslope_error_deg_lag2,0.08050637083576945
localizer_error_deg_lag2,0.01561586128848898
airspeed_error_kts_lag2,0.0013323155067187123
Rsp_amp_mean,0.0006290045205901601
Rsp_amp_std,0.0005876691127771007
HR_max,0.0005824987116716196
BR_std,0.0005710220660600906
BR_mean,0.000564326373534345
elevation_mean,0.0005424310446822586
HR_mean,0.0005070407129681755
HR_std,0.0004880971691378949
HR_min,0.00043000523550416214
HR_range,0.00041758450920550906
aileron_mean,0.0003369321476653893
level,0.00030529014012563153
gear_mean,0.0
