group_run,sub_id,run_id,MAE_glideslope_error_deg,RMSE_glideslope_error_deg,R2_glideslope_error_deg,MAE_localizer_error_deg,RMSE_localizer_error_deg,R2_localizer_error_deg,MAE_airspeed_error_kts,RMSE_airspeed_error_kts,R2_airspeed_error_kts,MAE_total_error,RMSE_total_error,R2_total_error
11_1,11,1,0.17270767871650577,0.19317901222953496,0.9339886409864147,0.045062157740962776,0.05724219151919007,0.9876200797799605,0.09186200703940496,0.12829566402306986,0.8647959279305483,0.1673846894188034,0.2185556553111329,0.8974058176064599
11_10,11,10,0.07375893717766763,0.1129372846865968,0.8078100767965555,0.025482923752550294,0.033159490754053215,0.966596817970146,0.0401410506977641,0.0502026186915599,0.92834384813826,0.07222000980421528,0.1084399604408072,0.8977707624169364
11_11,11,11,0.1451511725828246,0.2108575216890419,0.0,0.2075074920610684,0.26744155626641675,0.9409316618249117,0.20314864608110425,0.2398065912079948,0.9178275285685488,0.33445577267793297,0.3851840280942805,0.8736624331367747
11_12,11,12,0.06448228979431678,0.19535125371316914,0.7517273622132487,0.05622888993203099,0.06385394722367553,0.8824017791643153,0.0684581952395014,0.12602056950795368,0.9648230754240394,0.16949057335013143,0.3176323810793551,0.9067057403220566
11_2,11,2,0.1566265986594516,0.2127843443532489,0.9360821225141407,0.9402851885002036,1.8184241068576021,0.11732855944862053,0.309425709081141,0.45190527403153447,0.9159736436957922,0.6062567964671617,0.8118894683050089,0.7679031861376233
11_3,11,3,0.1382854034598359,0.14323070093070944,0.0,0.07106863282924433,0.07568688956932627,0.0,0.2600204453455437,0.27365183727811077,0.25251171689667773,0.4486096264600225,0.47450773459213136,-1.2474717666249715
11_4,11,4,0.06718314251078557,0.10986981682516397,0.0,0.08339852279076489,0.15224839654143368,0.0,0.2062779164316056,0.258670004640888,0.9078595702832016,0.19287774019388046,0.24109454477255457,0.7884139848545314
11_5,11,5,0.31026232802460585,0.3445609521603108,0.9225612111571374,0.1761518511706066,0.20422145172629494,0.9320931222740181,0.08751268294664578,0.10658411274854271,0.8255125346573325,0.36278860729855283,0.4196297708770919,0.9286273010359981
11_6,11,6,0.0616209691944352,0.09620761510353901,0.0,0.20135815695893,0.24635036585194656,0.9565456165602559,0.2627904596316647,0.34143307952789426,0.7330598723618884,0.22109601848669855,0.30689710335889336,0.8340876707907028
11_7,11,7,0.08312372440992367,0.17340469652242488,0.9253339368771148,0.08474443835564434,0.12111789748963887,-0.5390322264997578,0.04059648371776408,0.05854445548748483,0.0,0.15980069102034977,0.24293936620384726,0.8707899587642285
11_8,11,8,0.0750849518239168,0.08698606935109304,0.9685930556406004,0.021174449185481187,0.031373508406779375,0.859707463110422,0.03451423967321565,0.04309007451626489,0.978724599973562,0.08622040485125985,0.10799539181011568,0.9036456517504952
11_9,11,9,0.23172746327892477,0.3699771874286747,0.9299853764726789,0.2045434451108521,0.3246485340393317,0.8536136858929412,0.19191697001428207,0.23595401020923923,0.8534914955465704,0.27561569877746356,0.45218161392385237,0.6763159137377543
12_1,12,1,0.0081803403040478,0.011132486212316736,0.9820209622132366,0.0059363803346653395,0.007798412089735614,0.8950161187557155,0.009418744025585546,0.012603259896971065,0.9147183265430564,0.01564224925703928,0.020002468041211512,0.9255644496909899
12_10,12,10,0.034658068761016764,0.045252816546590385,0.9166717452713619,0.024805927952195935,0.03415701934063282,0.9663491093684562,0.025695577008584044,0.03059233328361776,0.798296201792837,0.058277735156029194,0.07412885341036966,0.9237951200721458
12_11,12,11,0.03313719531068935,0.04492040043118644,0.9707860029198739,0.016171491038517026,0.021525068629684084,0.9650276814473454,0.02209147589336588,0.026132263605217993,0.9166317557137853,0.041647868284382245,0.05839135332650596,0.9745690466340973
12_12,12,12,0.015666574694749708,0.019122772618726275,0.9695150256044831,0.007484931988529977,0.008821610762123903,0.9812643424892828,0.012463595661412663,0.016246262757029818,0.883771719944131,0.022944170037296,0.03174244037369206,0.8575734827000612
12_2,12,2,0.0187582245055315,0.022995268294798712,0.831556981314699,0.0228000032293262,0.037711197430174245,0.974531535834327,0.015461441913863939,0.019321651157640195,0.5222178552785804,0.0247489600478041,0.031184982177700767,0.873931342953897
12_3,12,3,0.029272944197617203,0.03507831514674126,0.9170837605431175,0.02254029179627778,0.027257600811872174,0.9469657855950512,0.017495933702815717,0.021129750119172095,0.9090332290300838,0.033179839807932765,0.04494194843274691,0.8999931293431507
12_4,12,4,0.14981639004465908,0.19281388443673772,0.8202960536540185,0.0743292498579569,0.08932464073384737,0.9625796708040292,0.13245897734735634,0.16923090700973314,0.7636828695614846,0.19487124089477184,0.23669346170087194,0.6721970915596639
12_5,12,5,0.03142710591654642,0.038822499488646245,0.9146673876904255,0.018321399215340196,0.027662577977866455,0.9612755275296601,0.024038500620786617,0.027872709687061455,0.8994322763979924,0.04396785852900806,0.056334879406696584,0.9286303706414737
12_6,12,6,0.0996355855824176,0.14482373243974342,0.7385231173974258,0.03314003011014909,0.04673246671965505,0.940626133626141,0.13753473113582715,0.16652074744762665,0.862318754098208,0.1450345131084842,0.18055315942223887,0.312182808749755
12_7,12,7,0.021979434092981073,0.025873325146880052,0.9491133086906967,0.008312364911865894,0.010826029610190737,0.9717178183103375,0.016297260167018143,0.021391431142508296,0.9731655927396674,0.02392262932726534,0.02972634989707013,0.8677323688820167
12_8,12,8,0.02500999935952936,0.030584433064471367,0.7898807326217041,0.016897538718318745,0.020429441483007817,0.9109595497044698,0.021630349954304937,0.02495826879240624,0.8162342192440245,0.0343772532142302,0.041830205319379726,0.5944076601835473
12_9,12,9,0.10021227971546973,0.12392308944667074,0.7815205870387548,0.03206849694057793,0.0372240021411945,0.9895200823960626,0.12829766811303514,0.15559857033875224,0.6418208122011049,0.12871866810767008,0.1525898110973583,0.866441935236239
13_1,13,1,0.2573893983976579,0.30635380297744313,0.939972626259397,0.27692181908251023,0.36959281633005514,0.9704124483891539,0.1979088715678396,0.22885198244186866,0.935606870621011,0.3195694930959587,0.37933376453748124,0.7571671756272784
13_10,13,10,0.4176117808145933,0.6284563059019783,0.4106793967020167,0.40745184819047625,0.9402883180942655,0.9017619865394952,0.23055343549121243,0.31040554734050024,0.8875739001710997,0.2994411939704378,0.4882030728085457,0.6883625331292184
13_11,13,11,0.35539668166204136,0.5069319228744709,0.9554682904144041,0.15203959921848528,0.18379210661234371,0.9661560995124784,0.17913943482817177,0.22299536263092748,0.9031836815960048,0.42416400674758525,0.5948251327372738,0.7496934416612792
13_12,13,12,0.03261850464054462,0.03839979536311838,0.0,0.10918356598453396,0.1385342641300346,0.44232536369199604,0.17827207878014575,0.22538565557327492,0.890349900081099,0.13376187001683493,0.1786438804593673,0.7711582369544349
13_2,13,2,0.09266257943356632,0.14196084791569852,0.9820297969579693,0.15480200882295486,0.191398603034369,0.9221911496304608,0.2956302695077518,0.3503384255842962,0.9051261442410155,0.4115612471582857,0.5118256570606254,0.9475737835200875
13_3,13,3,0.06177732269449061,0.0714252835327758,0.0,0.0976570093715546,0.12443083484001226,0.9572748287723623,0.18464850003640798,0.2268518703738558,0.9457831693380336,0.1739577130634924,0.22790144716998767,0.8884725468183902
13_4,13,4,0.06508830400355255,0.07068895973618178,0.0,0.136131969937914,0.16080513225867465,0.978282089650113,0.45762513119421294,0.5336942205436751,-0.04224534997902074,0.38589005277640787,0.480817650653599,0.5916663631905785
13_5,13,5,0.08868349431024544,0.18329872648210369,-2.641417546608222,0.1614204203074333,0.22540935923692382,0.9423419903946045,0.23769557316527914,0.29705573954733294,0.8152961613104939,0.2905002950437712,0.3772013576933132,0.9007085929992134
13_6,13,6,0.061574350678025296,0.07585118181041207,0.0,0.11263398574891777,0.1448344804202599,0.9164312295546169,0.25838652040637144,0.3199128309199438,0.9545790382473439,0.2647435205933326,0.32590272499757494,0.7846927377024808
13_7,13,7,0.3357572648616939,0.4843474887933093,0.0,0.3137633300395159,0.399644536962234,0.6393871967735159,0.13104646270425868,0.17258884887633358,0.90082718477468,0.34481145408424957,0.3991105818400177,0.7911439916008136
13_8,13,8,0.30232488721989176,0.34749067527357125,-9.058428829273245,0.3294949732675838,0.3964139175516821,0.9534758385494112,0.24520949054841457,0.33831348058339566,0.8652500673034823,0.48088363997968697,0.543403052166665,0.8217479909733987
13_9,13,9,0.06112969187960192,0.07647051727849988,0.0,0.05476501805128214,0.07952666731720655,0.3290644858508939,0.2781009196382877,0.3505760021925788,0.9296104394761181,0.2621845651199174,0.32578946110937657,0.7867187329936406
15_1,15,1,0.04541151020634913,0.06311343230968418,0.979592093084878,0.01076952366822067,0.014980536770113434,0.9331368644446651,0.039974814162152636,0.05143862118956693,0.9374895939488057,0.058516072904410486,0.07956757607551049,0.962043703920476
15_10,15,10,0.09149602450297842,0.10816596502769621,0.9590944531836826,0.04802367319920819,0.060813689982657265,0.9200850652960986,0.04473753968949582,0.05459357915860601,0.47883150026310917,0.1078703786396939,0.1371392740887146,0.9005092653606142
15_11,15,11,0.024388764044252022,0.03006853053192386,0.9593503894785622,0.03841219730217931,0.04792222618136019,-0.5298842924258793,0.021936020265068197,0.028446018031529425,0.20152655664263253,0.04149611238968443,0.047828412014618286,0.610583835401128
15_12,15,12,0.06669916223032518,0.09201641834725546,0.6405815976537224,0.02274676412480108,0.028870331588543813,0.9732892695512652,0.0456900862185591,0.053651650124084405,-15.305627638779828,0.08657220308080808,0.11300704949420852,-0.47778248672936274
15_2,15,2,0.18547218924057432,0.26062907526981205,0.9270357189474211,0.07259417435368333,0.10016796568191169,0.9766265030260093,0.13596517423169424,0.18368894389274248,-0.2082343988851687,0.22706075483272287,0.39698708359726204,0.869678460613404
15_3,15,3,0.026062240813723294,0.03345203302567711,0.9510977585515902,0.03639916616524214,0.04847155311757455,0.9424061266089162,0.01521932666627817,0.018375668065956276,-3.316303428362545,0.04156557050808452,0.05727520132407043,0.9265534112103412
15_4,15,4,0.15604837312794614,0.17697649499815737,0.9468466644888214,0.08619228905154092,0.1182835125060273,0.8614043976409058,0.14071228273718872,0.1765308311663209,0.6487671223193069,0.2307553512652903,0.2781252881362895,0.748177507215707
15_5,15,5,0.02660189696181596,0.03493133398278929,0.9779489295005395,0.05204979260698564,0.061957253330519914,0.9608565698845712,0.017302284392126395,0.020987705872864568,0.3000794525548057,0.07852990323750325,0.09615220505128073,0.825381326726399
15_6,15,6,0.39325441707716363,0.7968589128526957,0.7461951579126032,0.3571973136495356,0.903197014331103,0.8757071871891419,0.21411242755379803,0.3064920999178615,0.8906050850006536,0.3919175422497133,0.5364503616714394,0.584271012325021
15_7,15,7,0.07471205493277966,0.09386688961304335,0.9882268023348074,0.02434938216784088,0.033611439232505945,0.9483681918180669,0.043932408010418776,0.056505743899483644,0.7044297126053229,0.10989653040863054,0.17118204015291602,0.9039195249110489
15_8,15,8,0.0861207810120619,0.12097233599571013,0.9794838073605067,0.11098622715935917,0.17185226648833513,0.6105369704805659,0.08437178541924743,0.10582893600866358,-0.5030692584685317,0.20714237647326736,0.2463310445380019,0.9099997091137968
15_9,15,9,0.10707787670022574,0.18044839825523176,0.9332531501379203,0.07324621219991119,0.08804210678486633,0.9113446543854669,0.2154850272378363,0.2596233938608608,0.47392688647488834,0.2642587982608876,0.3230702583539625,0.802473376913497
16_1,16,1,0.030351347979613,0.03863038048276805,0.8258844442601102,0.022087995908054894,0.03758540598891032,0.9114450764804714,0.02440328731057831,0.03093213798149708,0.9789438273852408,0.031160684280867264,0.03928359949896302,0.9714877836885158
16_10,16,10,0.03641897639286642,0.0428240146920217,0.9425296725224155,0.015307969141229151,0.023353125272743535,0.8425379135646095,0.021295333980500958,0.025164737170185105,0.8650275760003179,0.03326231461497766,0.040996046735152634,0.9496436898529652
16_11,16,11,0.03154331208805138,0.04157588759733414,0.9133961224965623,0.01675435456488174,0.022808696523180884,0.9556303195816686,0.03498823017524309,0.045384107227609875,0.4146830208045832,0.047916189449311045,0.05469359876895626,0.6765371809696361
16_12,16,12,0.03790487892131935,0.04577607456690976,0.9038015302311075,0.026714276507104007,0.037812152567067756,0.434563642375167,0.03382795540986791,0.03947195962233563,0.8583999859732219,0.04833318376210819,0.060509652337484204,0.8307742977992887
16_2,16,2,0.02129232149383079,0.025278885445619532,0.8845811920133421,0.04062003625108007,0.05115700873864732,0.9464132398381644,0.022122558940255763,0.02716073524703367,0.9688870092442556,0.04267177965158808,0.04920869061395502,0.9142519309926689
16_3,16,3,0.033648699079106066,0.04059274231429767,0.9724146236729345,0.01413384142463092,0.02152653263838035,0.8694584692871878,0.026078637352425337,0.03371366654563132,0.7301022697456988,0.05383556590762944,0.06698912587623879,0.8798542375430212
16_4,16,4,0.13122487905093055,0.17392941382468932,0.8072215979184193,0.05988628604094055,0.08213990834226013,0.9514129510527903,0.14339276417967217,0.175853805878602,0.4399618717010291,0.17075844200621595,0.21862317202854595,0.6525637032677861
16_5,16,5,0.030068201592019075,0.03505845346399278,0.9570323343757776,0.02378826584802233,0.03156830630256434,0.9783910250496455,0.029194638714507712,0.03364589756637214,0.8397745894151037,0.041931798585895505,0.051257475129362566,0.9533367413087778
16_6,16,6,0.12458691048203649,0.18490263466929108,0.730758657198274,0.08497569327700077,0.1299180094906201,0.9364887980099763,0.148190575984941,0.18174901112707845,0.017434943343404674,0.15508619904356757,0.20758293310159057,0.8792229718689634
16_7,16,7,0.05337125574098127,0.06536249737683555,0.9684061918472141,0.03309362316385466,0.03713071423099884,-1.3467880717219685,0.029532326942575984,0.037079498101368284,0.9439038498354002,0.07330382752573356,0.09854428331158559,0.9121229133563985
16_8,16,8,0.03395644729281828,0.04754821651356135,0.965345996876318,0.019001027068006063,0.023308168129323466,0.9513820456757388,0.025222907631183632,0.03071588223154089,0.7061236805812499,0.03615011441861851,0.05689946561288367,0.9215956777776095
16_9,16,9,0.09488159020331521,0.13134827407572755,0.7639863786964802,0.035173173181892184,0.04324906941883714,0.9046488614703129,0.13310147698427494,0.16549789637129558,0.6342078921142461,0.16162958824353427,0.19769617791321972,0.22182904063659603
17_1,17,1,0.0856714982944648,0.09893415265305464,0.9586459302021048,0.023952081941206946,0.03985328319708013,0.8659339431293995,0.045931153546971484,0.05456779340811283,0.8814107490836223,0.08800363815760154,0.10369116654649936,0.9306807493685569
