feature,importance
airspeed_error_kts_lag1,0.27603906
glideslope_error_deg_lag2,0.2565333
localizer_error_deg_lag1,0.20574711
glideslope_error_deg_lag1,0.12437468
localizer_error_deg_lag2,0.06951626
elevation_mean,0.024061153
aileron_mean,0.011385435
HR_max,0.007381242
airspeed_error_kts_lag2,0.00586731
BR_mean,0.0057194596
Rsp_amp_mean,0.0025558232
HR_mean,0.0024170417
HR_std,0.002091297
HR_range,0.0016766356
BR_std,0.0016111832
level,0.0012294226
Rsp_amp_std,0.00095748116
HR_min,0.00083610154
gear_mean,0.0
