feature,importance
airspeed_error_kts_lag1,0.27984878
glideslope_error_deg_lag2,0.24727172
localizer_error_deg_lag1,0.19560276
glideslope_error_deg_lag1,0.12595072
localizer_error_deg_lag2,0.07310355
elevation_mean,0.024639087
HR_max,0.010856516
aileron_mean,0.00902779
HR_range,0.007144838
airspeed_error_kts_lag2,0.006782653
HR_min,0.006640221
Rsp_amp_mean,0.003606094
BR_mean,0.0033522116
BR_std,0.0014839895
level,0.0014137224
HR_mean,0.0013264131
HR_std,0.0011601391
Rsp_amp_std,0.0007887787
gear_mean,0.0
