feature,importance
total_error_lag1,80.33785574252741
total_error_lag2,19.13851776928925
airspeed_error_kts_lag2,0.17085895673146878
airspeed_error_kts_lag1,0.15964543755468077
glideslope_error_deg_lag1,0.051313878305717375
glideslope_error_deg_lag2,0.050857198598851364
localizer_error_deg_lag1,0.025774139602053492
level,0.0190820572403168
elevation_mean,0.011975769900447523
localizer_error_deg_lag2,0.01171754742609675
HR_mean,0.004206814678710499
aileron_mean,0.00399616712090514
HR_std,0.0035547993998166403
Rsp_amp_mean,0.0027244019130468226
BR_mean,0.0019359765458171433
Rsp_amp_std,0.001883627310759585
HR_max,0.0014607567670527515
HR_min,0.0013518968763147079
HR_range,0.0008716016775322202
BR_std,0.000415460533749348
gear_mean,0.0
