feature,importance
total_error_lag1,89.83418616845431
total_error_lag2,9.646648872842798
airspeed_error_kts_lag2,0.19088792209779165
airspeed_error_kts_lag1,0.1743042959832916
localizer_error_deg_lag1,0.031071822302160136
level,0.02468769898014162
glideslope_error_deg_lag2,0.023802203297739622
glideslope_error_deg_lag1,0.021969390087632705
elevation_mean,0.015343114689357909
localizer_error_deg_lag2,0.01211778815300406
Rsp_amp_mean,0.0050266294614277765
aileron_mean,0.0044875437732095685
BR_mean,0.0039777770035332475
HR_mean,0.0037039159937477715
Rsp_amp_std,0.002539894950156236
BR_std,0.0021845282455355683
HR_min,0.00141308425118276
HR_max,0.001150142841412643
HR_range,0.0003496517249220253
HR_std,0.0001475548666843522
gear_mean,0.0
