group_run,sub_id,run_id,MAE_glideslope_error_deg,RMSE_glideslope_error_deg,R2_glideslope_error_deg,MAE_localizer_error_deg,RMSE_localizer_error_deg,R2_localizer_error_deg,MAE_airspeed_error_kts,RMSE_airspeed_error_kts,R2_airspeed_error_kts,MAE_total_error,RMSE_total_error,R2_total_error
11_1,11,1,0.07798981696537247,0.1025404312937223,0.9815842691758938,0.04274478861969962,0.05172997827272775,0.9905909413759572,0.03924688466238963,0.04807952186586258,0.9819241429073767,0.0834114739878671,0.1101815098814242,0.9715995486581214
11_10,11,10,0.05343389591760977,0.08427985134904639,0.9393207075806096,0.024301140793496597,0.029777783545116922,0.974527034451129,0.0222983581269245,0.03268171536862169,0.9641819166115966,0.05069012493140394,0.08484336108159057,0.9691729256542302
11_11,11,11,0.027250403976413325,0.04034764538576599,0.0,0.16784065979818516,0.2466865238181644,0.9716651435978452,0.09664508816876528,0.13051223184796287,0.9744325057282806,0.24236499070214718,0.31712007462954866,0.9257650291998221
11_12,11,12,0.06688623770792106,0.1720986501175145,0.7715472379931403,0.023574348978153557,0.02762379682987078,0.9883391483919991,0.04118575143226596,0.09060187363938138,0.9787662877021968,0.1457188308885497,0.21519023404037643,0.9487697969437073
11_2,11,2,0.06619886122345227,0.11601491448100792,0.9784680892728129,0.6873036025744812,1.6100478522721031,0.29303090671537,0.17721456055676724,0.27015991007052903,0.9641538059817073,0.21811962031155,0.28404296246884136,0.9676487795495771
11_3,11,3,0.08562806731614142,0.14829284620464434,0.9227095829858191,0.01870851838633242,0.020292016169925008,0.0,0.11363246301897141,0.22183070231383875,0.9192461193133882,0.5269127153264379,0.5650718173840448,0.7221784578115522
11_4,11,4,0.013343242097801215,0.014412113845509408,0.0,0.04747518197430323,0.05461371635000141,0.0,0.1599862060749173,0.200344801500814,0.9365418252362447,0.1880266251548255,0.2361078701061794,0.766882572659238
11_5,11,5,0.08975757713290328,0.13050696161932107,0.9898106018271031,0.13241750985595085,0.18246168254627848,0.9873986962897542,0.051837007798754886,0.06562042159302744,0.9629819416041835,0.1860403139070587,0.22549574189827912,0.9830027408754615
11_6,11,6,0.031862854199590056,0.07644626363061448,0.0,0.3094043602091105,0.7380327197377312,0.751510503744723,0.15856245006248287,0.1919061622758377,0.9028718564533362,0.19745557004455982,0.2536424211211039,0.8751807619192038
11_7,11,7,0.15303243563100058,0.22761283501359367,0.877478993070838,0.07510385152021277,0.13539985124239118,-0.04297811548722774,0.010589975165442904,0.012481931209195302,0.0,0.10210163269144952,0.15128529661598647,0.9456316769892743
11_8,11,8,0.04609597785323475,0.058824731356806964,0.9843530533744893,0.013388537029818648,0.01897207017314607,0.9567567322610891,0.028622426077250133,0.0334349539311497,0.984653488349522,0.06534021782813547,0.07888094580406758,0.9435048405357334
11_9,11,9,0.13870831935117317,0.21766823132495483,0.972223245136,0.12518961371499507,0.16585362170921766,0.9659278317189735,0.1690295380466866,0.20027186828137053,0.9475054674947158,0.2029816143024898,0.27101932334928075,0.8773905317374072
12_1,12,1,0.008843467364731229,0.01087070426785788,0.9847375487644249,0.007737481464323125,0.009089615224235948,0.8702257093882293,0.0069864411539812266,0.00851869087611835,0.9869268747197293,0.014211767871524608,0.0177645060798758,0.9554168361713217
12_10,12,10,0.02439272502141406,0.03229491029545873,0.9611841465434212,0.020563619096053427,0.027443879815664096,0.9870789809336047,0.010696906615534315,0.012661056063466883,0.9693124145870101,0.04261335275001475,0.05730122064719492,0.9454897109911915
12_11,12,11,0.022411877507525744,0.03074225272222094,0.9860072072072917,0.013779535163107128,0.018079272595360463,0.9844116059383661,0.011751460043946371,0.015639705303685303,0.9717712714732515,0.027036648765059085,0.04656500223462051,0.9815434966208604
12_12,12,12,0.010589313567631726,0.013943270965628366,0.9824283218653582,0.007695475086354148,0.010644983207109536,0.9824581160240027,0.01458259594419193,0.018006407252932496,0.8390020949069364,0.014263745192311168,0.020465868951890398,0.9349055596911511
12_2,12,2,0.014176720459405826,0.01675396261808603,0.9741336758361453,0.021009970739728448,0.03354926704170768,0.9774333883418813,0.013149375339931223,0.015892017344486392,0.8991442884453965,0.021924654991390288,0.026119812122658848,0.8961831143616614
12_3,12,3,0.021627632016178126,0.02585412912605505,0.9523022267833117,0.019995536341806626,0.024761782165113017,0.982788544968526,0.008891852170081942,0.012051482720222701,0.9686417360885616,0.02948104266671168,0.03731932267797869,0.96798243194555
12_4,12,4,0.0832452451303701,0.11618254037072288,0.9226133606214051,0.05917104564424353,0.07111052725980202,0.9747637611859173,0.12009885103316756,0.14744746027358638,0.8308693392888392,0.16068289784138337,0.19692467244268663,0.8018874301591971
12_5,12,5,0.022638749327303233,0.029979223969835003,0.9474539558805508,0.016082247553197017,0.02278902067595331,0.9842499448914974,0.011450809355892717,0.0140738699174939,0.974749077194078,0.03968107183371656,0.0510419939311025,0.9392276462620711
12_6,12,6,0.06583200903120127,0.1000045985819283,0.8698054434978257,0.02308496013858514,0.03028580555171118,0.973824455160597,0.12039151479131312,0.15152882234710438,0.9127841846496932,0.13645877643153323,0.17474210584837982,0.287661230513767
12_7,12,7,0.01310348016887919,0.016101709967873495,0.9783448548434088,0.010052599021640796,0.012150408759645766,0.9671040205249611,0.01202628613563113,0.014663536807792612,0.99238867304949,0.015815711326936564,0.020652729427978925,0.9783166496725746
12_8,12,8,0.014744125392459466,0.01884971717126384,0.9666394283730864,0.016495097548650164,0.0244326069854946,0.9632620910927758,0.008566243726105982,0.01102078160153779,0.9852465881146769,0.020130596579735,0.02465822592238335,0.8747058628671277
12_9,12,9,0.05653435250367155,0.08145693502406065,0.8947766080661123,0.03254263164416372,0.03836724617126983,0.9883422617298573,0.12098970146629331,0.1467391089100033,0.655782585472438,0.12413586087673448,0.14933786211236746,0.8601662353521518
13_1,13,1,0.10868543277007275,0.15954719146061785,0.9830035024182984,0.22329957056967809,0.29922075784598234,0.9796872238880491,0.07438304532591587,0.09056136586839006,0.9887313109785297,0.17229819940706367,0.2289481541802803,0.934986269103089
13_10,13,10,0.2228485966049835,0.6981519784425341,0.6700277159193704,0.3584710953938675,1.1316855653822566,0.8575403538493261,0.1803799718109856,0.23134634189102535,0.93639408526024,0.24689244824321888,0.4928216640509926,0.7818333119540544
13_11,13,11,0.25316492100170856,0.40272231013929477,0.9719069083002144,0.13528332318578415,0.16679743336795583,0.9811902376597537,0.10933198133438474,0.1311010698701352,0.9643193180468348,0.32460809867445684,0.42729316057378963,0.8822435108608346
13_12,13,12,0.011054230186853779,0.013647516549136084,0.0,0.042022744593749065,0.07402995742212932,0.84105994420226,0.08436328770394819,0.13836163728402054,0.9865543008977447,0.10240228528518985,0.1461754460031246,0.9726635046007008
13_2,13,2,0.06488919613511315,0.10481374696394909,0.9902679306901024,0.10222759531258363,0.12387638263072517,0.9667558113325929,0.10690527094201369,0.1428374409909639,0.9845613688213143,0.19712902977286215,0.2334269002387644,0.9893872813132818
13_3,13,3,0.020748242576603865,0.046006939030615146,0.9238196476259775,0.08487029307293896,0.09833644305783257,0.9729106337910666,0.10661121657545003,0.1253292355870774,0.9809980823265099,0.12501459838275444,0.15539896704929756,0.9687842530551815
13_4,13,4,0.009505528787818962,0.013900156938170911,0.0,0.13619110680060345,0.16991558798449313,0.9724788743925299,0.10822317040735921,0.1415489864783114,0.9128319905357476,0.12905838321183752,0.15524153675124316,0.9495511620503619
13_5,13,5,0.0942648683044483,0.23741869026044232,0.8720501649468707,0.13588096924488602,0.21133381214012192,0.9664080422241773,0.13005653667899772,0.17575840833871686,0.9256485776971951,0.19896089854108986,0.3021962962218395,0.9374149163863955
13_6,13,6,0.0062778181461652744,0.009583102639647994,0.0,0.04074083530556401,0.052481895465993356,0.9946939492683741,0.16317223610429757,0.1974300911471093,0.9807199123006508,0.1711045956078973,0.2117820735056481,0.9055327092728345
13_7,13,7,0.005409077054837212,0.0065281022349136615,0.0,0.1140573633593786,0.15709464158217,0.9580820365049132,0.07789752147067729,0.10099314315501742,0.9619422046187579,0.11016464059332659,0.1353714201155932,0.979194187397724
13_8,13,8,0.1164474149666558,0.20329495169600814,0.9741402006978429,0.13418945439116453,0.2610672995393259,0.9770306241719935,0.09606748505982636,0.13387896860551074,0.9749226367139995,0.2310354186573496,0.31037034206153624,0.9444816626116855
13_9,13,9,0.021282555903752356,0.024092019268100555,0.0,0.03495100890192529,0.05701098382142783,0.5913977984780094,0.207627791678956,0.260058573465976,0.9654353854623093,0.2668073423851151,0.3217617935770176,0.8336376585786607
15_1,15,1,0.04464800885482747,0.058804903992033954,0.9811397925681811,0.009154580686968993,0.011926682492959731,0.9630855969330853,0.031990566534405185,0.03659685684667829,0.9718192218760334,0.05019735029689146,0.06591175546842822,0.9699503531390804
15_10,15,10,0.05923629127600476,0.06967373670509702,0.9892666230348962,0.017265291128838924,0.024701938257280922,0.9923843768321837,0.02249078146254825,0.028698357830126676,0.8370102197722054,0.042653134899677335,0.05420659992128245,0.9863001208922392
15_11,15,11,0.01308219001038092,0.01626006692052397,0.990150836421301,0.007684914063476076,0.00959770069055368,0.9384215578469712,0.023312762656065574,0.030325492378315128,0.15796430222045554,0.024317029912645543,0.02988442816085131,0.8434161388148167
15_12,15,12,0.014397350358797887,0.02032311266037802,0.9837964842092443,0.013978691275257674,0.017587328346144147,0.9901478904612463,0.016018515258034327,0.020007499552723188,-1.183826799323184,0.023216738842895997,0.028854342753106076,0.8863566128549413
15_2,15,2,0.10926092149627477,0.14150075079447155,0.9786152030141574,0.05088246516568053,0.06119203218242363,0.9907153992998257,0.027413034171308467,0.04000355945781457,0.934799680614562,0.10055498035665583,0.13278320409403874,0.987452039631847
15_3,15,3,0.012048165865160387,0.015665984959220884,0.9922372713707039,0.024335960426670963,0.03325472564595576,0.9836838326723053,0.009865709542679032,0.012123675679094137,-0.47051400701849366,0.029338979525385576,0.034086005060394754,0.9779689077502539
15_4,15,4,0.10852688730206458,0.13450713896353494,0.9646972442055074,0.05006018426994142,0.06289506211348535,0.9663666782963116,0.12329988335132362,0.14888430890698018,0.8722454144830838,0.1703719492248232,0.2051786809816468,0.906386188757324
