feature,importance
total_error_lag1,0.5235366951609126
glideslope_error_deg_lag1,0.16788768848562438
airspeed_error_kts_lag1,0.1523030530140667
localizer_error_deg_lag1,0.12613087690480337
glideslope_error_deg_lag2,0.01931519643602022
localizer_error_deg_lag2,0.004497319538266244
airspeed_error_kts_lag2,0.001142566805625446
total_error_lag2,0.0008068871123962364
elevation_mean,0.0005259177767405598
Rsp_amp_mean,0.0004882780736915378
Rsp_amp_std,0.0004758040800232327
BR_std,0.00044718411047258675
BR_mean,0.0004432172262747799
HR_mean,0.0004125433522201892
HR_std,0.0003529985858111033
HR_min,0.0003115391173085099
HR_range,0.00026503345910559807
HR_max,0.00025795377534804873
level,0.00020823114918694035
aileron_mean,0.00019101583610166512
gear_mean,0.0
