group_run,sub_id,run_id,MAE_glideslope_error_deg,RMSE_glideslope_error_deg,R2_glideslope_error_deg,MAE_localizer_error_deg,RMSE_localizer_error_deg,R2_localizer_error_deg,MAE_airspeed_error_kts,RMSE_airspeed_error_kts,R2_airspeed_error_kts,MAE_total_error,RMSE_total_error,R2_total_error
11_1,11,1,0.14640034030278362,0.16820494222396482,0.9504462890596397,0.05848255866960192,0.0735186084397815,0.9809955135338696,0.11947836978271745,0.14221595749630062,0.8418477852350621,0.10297676342870105,0.1440120511330417,0.9514817112295165
11_10,11,10,0.0643429350990984,0.09909909829089658,0.9161057121880692,0.03935700080989994,0.053294912953926285,0.9184044854896066,0.04396945603523021,0.05815569139767872,0.8865832748284168,0.052001840333986964,0.08277640421741264,0.9706566499959907
11_11,11,11,0.07038590007998187,0.10576574190224881,0.0,0.17640048545371279,0.25966775391519453,0.9686045864232625,0.21262269029415048,0.2517122049501363,0.9048969856477272,0.27639196279828226,0.3253396895315618,0.9218668798268033
11_12,11,12,0.05550004361197449,0.17462067600248496,0.7648024380154969,0.050928636786053486,0.05885301165442869,0.9470701199583127,0.05354868414699497,0.11003745186164332,0.9686792162850334,0.13277443797098062,0.26153138172562873,0.9243291559830231
11_2,11,2,0.2306389162345987,0.41535344857483153,0.7240117686245643,0.7267968057886233,1.7578018644190425,0.15731997045151536,0.3514888824240719,0.513053348854073,0.8707215017813668,0.2971773844686629,0.4228432501973768,0.9283062318963825
11_3,11,3,0.0826295330185237,0.15228423323541684,0.9184929582590414,0.061492415735467994,0.06546137765856512,0.0,0.2763151625863331,0.38143352949137055,0.7612420580972343,0.36215363483436164,0.48562971492028484,0.7948038879239112
11_4,11,4,0.02258129093943094,0.04834402625027746,0.0,0.04013951116913963,0.1106737940739613,0.0,0.1682392631426136,0.22233283318980795,0.9218482648153465,0.15074265037457887,0.18978197936797375,0.8493865494341593
11_5,11,5,0.13114263383628735,0.17693373406931137,0.9812715229927098,0.20802259943593432,0.2626573518384113,0.9738873317783522,0.11219600710753758,0.13615612782287131,0.840628746887794,0.20406774012563064,0.32092341259187523,0.9655725379727202
11_6,11,6,0.05419155803418793,0.0747312748307956,0.0,0.3718830701780783,0.9344100951853842,0.601680244176341,0.2186398169112063,0.2763717275975168,0.7985559364375835,0.1888147350642111,0.2522806827297817,0.8765174064984438
11_7,11,7,0.09580092970171776,0.16831153682000943,0.9330046235126638,0.0667074442383234,0.08607845653564199,0.5784707035689027,0.08482338301217336,0.10186663590525867,0.0,0.10841082199377726,0.1823930102267101,0.9209742043217002
11_8,11,8,0.06805305480931377,0.07896530649049255,0.9718043346847192,0.017978143845805615,0.02678313122390005,0.9138189545365654,0.033524749800816454,0.04546218908871394,0.9716267618637541,0.06697464526367783,0.08434539644554284,0.9354063556432766
11_9,11,9,0.20256293003262166,0.32718650354184037,0.9372401104359114,0.1694634695036136,0.21231913723187415,0.9441622211364986,0.23414574226054805,0.2766785585865588,0.8998098140014308,0.2109355172409071,0.32088491465014884,0.828121285467969
12_1,12,1,0.009932241619059954,0.012788339649103678,0.9788778923503965,0.006402388563535223,0.008955156922100261,0.8740366895703303,0.008638799160006653,0.011023719690590917,0.9781077686902752,0.013221854990164114,0.01660254499243142,0.9610583864562193
12_10,12,10,0.03326115815066107,0.04325481922709501,0.9303678223853922,0.02214562779945363,0.031052495323816678,0.9834575907847014,0.02066649838917256,0.02510682513486598,0.8793280168406841,0.048259539980991244,0.06116489679111845,0.9378909005770851
12_11,12,11,0.032434353245797395,0.04405812003902671,0.9712601200358268,0.017996552919302928,0.022956815536164337,0.9748659335476039,0.019632880635537326,0.02312039477665505,0.9383085927821102,0.037895566067543594,0.05262078745827792,0.9764307992173933
12_12,12,12,0.02192440509314759,0.027623130915221245,0.9310348463081701,0.00939804678475842,0.011710259569201525,0.9787714995970733,0.017684224273442687,0.02165831928733886,0.7670752747868592,0.019011728413839225,0.025623437837452873,0.897962851220603
12_2,12,2,0.01875522452433369,0.023084223109115305,0.9508944976766943,0.0221032477353819,0.03606426007790641,0.973923197668017,0.019038775976276776,0.022943947956445547,0.7897777234908815,0.02142005782677198,0.025154666241040773,0.9037135848625711
12_3,12,3,0.027178173619189453,0.03373663326756816,0.918783969776483,0.021583707027725375,0.027943495878626615,0.9780812761783505,0.021033014061709862,0.02734944593732564,0.8385016419939788,0.03144116599240258,0.04115722800806293,0.9610584647888951
12_4,12,4,0.13052836014075428,0.17094457985059983,0.832469100207433,0.06198242349715099,0.07957899036265288,0.9683951538429976,0.1404299972592531,0.17600684100133582,0.7590056565282102,0.1579087182546774,0.19606944545865948,0.8036044654181893
