feature,importance
glideslope_error_deg_lag1,0.24095958
airspeed_error_kts_lag1,0.17756243
total_error_lag2,0.17282246
localizer_error_deg_lag2,0.16157317
localizer_error_deg_lag1,0.08727535
glideslope_error_deg_lag2,0.055967934
airspeed_error_kts_lag2,0.05365319
total_error_lag1,0.019285526
elevation_mean,0.011839181
level,0.0030940608
aileron_mean,0.0029242449
HR_range,0.002431701
BR_mean,0.0022019283
BR_std,0.0016880218
Rsp_amp_std,0.0014578862
HR_max,0.0012203841
Rsp_amp_mean,0.001184375
HR_std,0.0011543836
HR_mean,0.0009021921
HR_min,0.0008019585
gear_mean,0.0
