feature,importance
glideslope_error_deg_lag1,0.232846
airspeed_error_kts_lag1,0.18508656
localizer_error_deg_lag2,0.16684836
total_error_lag2,0.1532724
localizer_error_deg_lag1,0.09859782
glideslope_error_deg_lag2,0.06739644
airspeed_error_kts_lag2,0.03807857
total_error_lag1,0.021537594
elevation_mean,0.012981798
level,0.003238537
aileron_mean,0.0030877457
HR_std,0.0026176465
HR_max,0.0023975025
BR_mean,0.0022468956
HR_range,0.0021000018
BR_std,0.0020414796
HR_mean,0.0017567286
Rsp_amp_std,0.001355137
Rsp_amp_mean,0.0012943513
HR_min,0.0012183858
gear_mean,0.0
