time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738279.553169866,-0.2313,-0.1252,0.233,0.5895
738279.553172409,-0.2329,-0.1251,-1.6274,1.9854
738279.553174421,-0.2353,-0.1254,-3,3.3607
738279.553176447,-0.2376,-0.1249,-3,3.3625
738279.553178514,-0.24,-0.1254,-3,3.3654
738279.553180544,-0.2429,-0.1249,-2.8953,3.2631
738279.553182559,-0.2459,-0.1254,-2.3776,2.7489
738279.5531847,-0.2493,-0.1247,-1.8781,2.2521
738279.553186795,-0.2534,-0.1252,-1.4869,1.8655
738279.553188943,-0.2585,-0.1255,-1.1857,1.5697
738279.553191077,-0.2643,-0.1248,-0.9412,1.3303
738279.553193306,-0.2705,-0.1251,-0.7318,1.1274
738279.553195374,-0.2774,-0.1245,-0.5735,0.9754
738279.553197457,-0.2849,-0.124,-0.4745,0.8834
738279.553199498,-0.293,-0.1237,-0.4046,0.8213
738279.553201513,-0.3014,-0.1232,-0.3376,0.7622
738279.553203535,-0.31,-0.1237,-0.2521,0.6858
738279.553205561,-0.3191,-0.1233,-0.1342,0.5766
738279.553207735,-0.3292,-0.1227,0.0275,0.4794
738279.553210058,-0.3404,-0.1228,0.1979,0.6611
738279.553212506,-0.3523,-0.1217,0.3334,0.8074
738279.553214564,-0.3626,-0.1214,0.4083,0.8923
738279.553216604,-0.3736,-0.1209,0.4742,0.9687
738279.553218661,-0.3849,-0.1214,0.5478,1.0541
738279.553221119,-0.3984,-0.1202,0.6397,1.1583
738279.553223192,-0.4102,-0.1197,0.6932,1.2231
738279.553225206,-0.4223,-0.1191,0.7015,1.2429
738279.553227242,-0.4353,-0.1186,0.6574,1.2113
738279.553229257,-0.4483,-0.1181,0.5843,1.1507
738279.553231618,-0.4643,-0.1172,0.5128,1.0943
738279.553233658,-0.4786,-0.1165,0.5111,1.1062
738279.553235807,-0.4942,-0.1157,0.5371,1.147
738279.553237888,-0.5098,-0.1151,0.5605,1.1854
738279.553239974,-0.5251,-0.1135,0.6099,1.2485
738279.55324208,-0.541,-0.1128,0.6967,1.3505
738279.553244241,-0.5578,-0.1119,0.8011,1.4708
738279.553246399,-0.575,-0.1111,0.8728,1.5589
738279.553248715,-0.5938,-0.1099,0.9202,1.6239
738279.553250944,-0.6122,-0.1099,0.9865,1.7086
738279.553253028,-0.6296,-0.109,1.0682,1.8068
738279.553255244,-0.6475,-0.1082,1.1282,1.8839
738279.553257519,-0.6661,-0.1071,1.1572,1.9304
738279.553259565,-0.6843,-0.1063,1.1687,1.9593
738279.553261732,-0.7025,-0.1053,1.1844,1.9922
738279.55326381,-0.7203,-0.1044,1.217,2.0417
738279.553266044,-0.7398,-0.1033,1.2693,2.1124
738279.553268367,-0.7566,-0.1026,1.3174,2.1766
738279.553270642,-0.7758,-0.1015,1.3671,2.2444
738279.553272838,-0.7945,-0.1003,1.4095,2.3043
738279.553274987,-0.8133,-0.0993,1.4733,2.3859
738279.553277235,-0.8324,-0.0989,1.606,2.5373
738279.553279695,-0.8521,-0.0984,1.778,2.7285
738279.553281799,-0.8711,-0.0982,1.9027,2.872
738279.553284103,-0.8896,-0.0978,1.9991,2.9865
738279.553286296,-0.9089,-0.0974,2.0945,3.1008
738279.553288606,-0.9284,-0.0978,2.1508,3.177
738279.553291186,-0.9496,-0.0989,2.1571,3.2056
738279.553293345,-0.969,-0.1003,2.1698,3.2391
738279.553295633,-0.988,-0.1018,2.2291,3.3189
738279.553297988,-1.0081,-0.1029,2.3207,3.4317
738279.553300195,-1.0274,-0.105,2.377,3.5094
738279.553302286,-1.0441,-0.1078,2.4063,3.5582
738279.553304784,-1.0614,-0.1093,2.469,3.6397
738279.553306832,-1.0805,-0.1122,2.5451,3.7378
738279.553308967,-1.0965,-0.1148,2.5797,3.791
738279.553311084,-1.1125,-0.1165,2.6178,3.8468
738279.553313276,-1.1279,-0.1189,2.6756,3.9224
738279.553315377,-1.1441,-0.1212,2.7451,4.0104
738279.553317501,-1.1584,-0.1239,2.7916,4.0739
738279.553319628,-1.1729,-0.1263,2.8169,4.1161
738279.553321682,-1.1865,-0.129,2.8447,4.1602
738279.553323725,-1.1995,-0.1307,2.9005,4.2307
738279.553325852,-1.2125,-0.1331,2.9658,4.3114
738279.553327973,-1.225,-0.1356,2.9997,4.3603
738279.553330269,-1.2379,-0.1379,3,4.3758
738279.553332518,-1.2508,-0.141,3,4.3918
738279.55333471,-1.263,-0.143,3,4.406
738279.553336886,-1.2737,-0.1455,3,4.4192
738279.553339017,-1.2839,-0.148,3,4.4319
738279.553341085,-1.2926,-0.1505,3,4.4431
738279.553343245,-1.3009,-0.153,3,4.4539
738279.553345378,-1.3087,-0.1555,3,4.4642
738279.553347626,-1.3155,-0.1586,3,4.4741
738279.553349997,-1.3222,-0.1616,3,4.4838
738279.553352266,-1.3278,-0.1647,3,4.4925
738279.553354604,-1.3328,-0.1679,3,4.5007
738279.553356982,-1.3376,-0.1716,3,4.5092
738279.55335926,-1.3409,-0.1748,3,4.5157
738279.553361622,-1.344,-0.1785,3,4.5225
738279.553363805,-1.3461,-0.1819,3,4.528
738279.553366017,-1.3473,-0.1854,3,4.5327
738279.553368142,-1.348,-0.1897,3,4.5377
738279.553370464,-1.3477,-0.1938,3,4.5415
738279.553372748,-1.3467,-0.1979,3,4.5446
738279.553374975,-1.3453,-0.2023,3,4.5476
738279.553377218,-1.3429,-0.2074,3,4.5503
738279.55337953,-1.3402,-0.2125,3,4.5527
738279.553381765,-1.337,-0.2178,3,4.5548
738279.553383971,-1.3327,-0.2229,3,4.5556
738279.553386104,-1.3282,-0.2274,3,4.5556
738279.553388237,-1.3233,-0.2329,3,4.5562
738279.553390558,-1.3171,-0.2381,3,4.5552
738279.553392896,-1.3102,-0.2442,3,4.5544
738279.553395182,-1.3026,-0.2504,3,4.553
738279.553397396,-1.2946,-0.2559,3,4.5505
738279.553399621,-1.2854,-0.2611,3,4.5465
738279.553401987,-1.2752,-0.267,3,4.5422
738279.553404291,-1.2642,-0.2732,3,4.5374
738279.553406633,-1.2528,-0.2794,3,4.5322
738279.553408948,-1.2408,-0.2846,3,4.5254
738279.5534112,-1.2283,-0.291,3,4.5193
738279.553413452,-1.2152,-0.2964,3,4.5116
738279.553415803,-1.201,-0.3016,3,4.5026
738279.553418063,-1.1871,-0.3072,3,4.4943
738279.553420401,-1.172,-0.3125,3,4.4845
738279.553422768,-1.1559,-0.3187,3,4.4746
738279.553425036,-1.1404,-0.3241,3,4.4645
738279.553427201,-1.1257,-0.3289,2.9012,4.3558
738279.553429449,-1.1095,-0.3346,2.7876,4.2317
738279.553431663,-1.094,-0.3404,2.6973,4.1317
738279.553433836,-1.0776,-0.345,2.6167,4.0393
738279.553436089,-1.0609,-0.3506,2.5567,3.9682
738279.55343861,-1.0451,-0.3566,2.5303,3.932
738279.553440883,-1.0241,-0.3634,2.5551,3.9426
738279.55344306,-1.0064,-0.3691,2.612,3.9875
738279.553445245,-0.9892,-0.3741,2.6453,4.0086
738279.553447434,-0.9714,-0.3799,2.6034,3.9547
738279.553449742,-0.9527,-0.3856,2.4899,3.8282
738279.553452015,-0.9338,-0.3915,2.376,3.7013
738279.553454432,-0.9131,-0.398,2.2998,3.6109
738279.553456854,-0.8921,-0.4035,2.2295,3.5251
738279.553459237,-0.8698,-0.4101,2.1331,3.413
738279.553461436,-0.8495,-0.4161,2.0769,3.3425
738279.553463801,-0.8275,-0.4219,2.0413,3.2907
738279.553466099,-0.8049,-0.4276,1.9844,3.2169
738279.553468305,-0.7833,-0.4327,1.9314,3.1474
738279.553470529,-0.7614,-0.4388,1.9136,3.1138
738279.553472684,-0.7392,-0.4439,1.9317,3.1148
738279.553474938,-0.7155,-0.45,1.9581,3.1236
738279.553477189,-0.6917,-0.4551,1.9569,3.1037
738279.553479671,-0.6658,-0.4609,1.9067,3.0334
738279.55348189,-0.6406,-0.467,1.8155,2.9231
738279.553484063,-0.6153,-0.4721,1.6959,2.7833
738279.553486345,-0.5906,-0.4784,1.5573,2.6263
